mid,title,type
/m/01xtmj,Detoxification,Topic
/m/07swgp,Detoxification,Alternative medicine
/m/0776_t,D-Tox,2002 film
/m/03wj70_,Drug detoxification,Topic
/m/011c8bxy,Digital detox,Topic
/m/0b9xv1,Water fasting,Topic
/m/04ymc5g,The Fat Flush Plan,Book by Ann Louise Gittleman
/g/12brhpqzd,Prescription for Dietary Wellness: Using Foods to Heal,Topic
/g/12bn5b8_f,The Fasting Cure,Topic
/g/1hh_wyjfr,The Every Other Day Diet: The Diet That Lets You Eat All You Want (Half the Time) and Keep the Weight Off,Topic
/m/04ymc5g,The Fat Flush Plan,Book by Ann Louise Gittleman
/g/12bn6qcf4,21 Pounds in 21 Days: The Martha's Vineyard Diet Detox,Topic
/g/113v68rb2,"Atomic Power with God, Thru Fasting and Prayer",Topic
/m/01c24r,Ascites,Topic
/m/0hkwr,Dietary fiber,Topic
/m/04ct24r,Low sodium diet,Topic
/m/02ctyl,Ozone therapy,Topic
/m/04jh17h,Colon cleansing,Topic
/g/1pv6yf79w,Natural Healing Waters-Colon Hydrotherapy,"Day spa in Goodyear, Arizona"
/g/1thqbkl8,Charlotte Colon Hydrotherapy,"Health consultant in Charlotte, North Carolina"
/g/12hkkmg_v,Colon hydrotherapy DF,"Doctor in Mexico City, Mexico"
/m/0838f,Water,Chemical compound
/m/0fjzb,Brown rat,Rodent
/m/0mb9x,Water vapor,Topic
/m/02br8m,Reflexology,Topic
/g/11g6hrwjbf,Tao Reflexology,"Reflexologist in Leawood, Kansas"
/g/1hc7_yh8c,Amazes Thai Massage & Reflexology,"Thai massage therapist in Auckland, New Zealand"
/g/11c3tgcrf4,Ha-Su Wellness and Reflexology Boutique,"Reflexologist in South Jakarta, Indonesia"
/g/11bw46q04l,"Nest Family Reflexology, Laweyan","Massage spa in Surakarta, Indonesia"
