# ----------------------------------------,,,,,,,,,treter,
# All Web Site Data,,,,,,,,,,
# Google Ads Search Queries,,,,,,,,,,
# 20200101-20200510,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Search Query,Clicks,Cost,CPC,Users,Sessions,Bounce Rate,Pages / Session,Form Completion (Goal 2 Conversion Rate),Form Completion (Goal 2 Completions),Form Completion (Goal 2 Value)
cloudbolt,511,"$1,321.15 ",$2.59 ,17,27,66.67%,1.44,22.22%,6,$0.00 
download from high security cloud storage,384,$129.24 ,$0.34 ,4,9,66.67%,1.44,0.00%,0,$0.00 
hybrid cloud solutions,228,"$2,737.74 ",$12.01 ,201,243,70.37%,1.62,2.47%,6,$0.00 
secure cloud storage personal,207,$59.45 ,$0.29 ,2,2,100.00%,1,0.00%,0,$0.00 
hybrid cloud,176,"$2,084.96 ",$11.85 ,160,163,90.18%,1.13,2.45%,4,$0.00 
vra,160,"$1,048.24 ",$6.55 ,130,143,91.61%,1.21,0.00%,0,$0.00 
cloud storage for movies and tv shows,119,$32.64 ,$0.27 ,5,5,100.00%,1,0.00%,0,$0.00 
data security in cloud computing,111,$36.76 ,$0.33 ,4,5,80.00%,1.4,0.00%,0,$0.00 
azure devops,109,$106.35 ,$0.98 ,6,6,100.00%,1,0.00%,0,$0.00 
oracle data integration cloud,108,$21.36 ,$0.20 ,1,1,100.00%,1,0.00%,0,$0.00 
popular cloud storage,94,$23.87 ,$0.25 ,2,2,100.00%,1,0.00%,0,$0.00 
aws cloud watch,77,$18.63 ,$0.24 ,37,37,97.30%,1.03,0.00%,0,$0.00 
morpheus data,77,$639.31 ,$8.30 ,70,89,60.67%,2.35,3.37%,3,$0.00 
public cloud hosting,76,$24.02 ,$0.32 ,46,46,95.65%,1.07,0.00%,0,$0.00 
vra links,70,$514.57 ,$7.35 ,33,35,97.14%,1.06,0.00%,0,$0.00 
private cloud computing providers,69,$32.74 ,$0.47 ,1,1,100.00%,1,0.00%,0,$0.00 
amazon cloud solutions for business,67,$28.66 ,$0.43 ,22,23,91.30%,1.09,0.00%,0,$0.00 
active directory on the cloud,66,$26.34 ,$0.40 ,25,25,100.00%,1,0.00%,0,$0.00 
hybrid cloud environment,66,$39.54 ,$0.60 ,3,3,100.00%,1,0.00%,0,$0.00 
amazon cloud offerings,63,$19.89 ,$0.32 ,25,25,96.00%,1.08,0.00%,0,$0.00 
multicloud,62,$377.71 ,$6.09 ,45,45,93.33%,1.11,2.22%,1,$0.00 
azure rdp,61,$43.65 ,$0.72 ,6,7,71.43%,1.71,0.00%,0,$0.00 
