"Address","Status Code","Title 1","Indexability","Indexability Status","GA Sessions","GA % New Sessions","GA Users","GA New Users","GA Bounce Rate","GA Page Views Per Session","GA Avg Session Duration","GA Goal Conversion Rate All","GA Goal Completions All","GA Goal Value All","GA Page Value"
"https://columbusrecoverycenter.com/","301","","Non-Indexable","Redirected","","","","","","","","","","",""
"https://www.columbusrecoverycenter.com/","200","Drug and Alcohol Rehab in Columbus, Ohio | The Recovery Village","Indexable","","6494","77.530","5650","5035","61.190","1.910","00:01:35","1.800","117","33299.000","9.940"
"https://www.columbusrecoverycenter.com/admissions/checklist/","200","Rehab and Treatment Checklist | Columbus Recovery Village","Indexable","","38","42.110","26","16","92.110","1.110","00:00:52","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/admissions/","200","Admitting Into Our Addiction Treatment Programs at The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","59","69.490","52","41","89.830","1.100","00:00:32","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","200","Outpatient Drug & Alcohol Rehab in Columbus, Ohio","Indexable","","177","77.400","161","137","78.530","1.430","00:00:43","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","200","Mansfield Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","1","100.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","200","Toledo Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","2","100.000","2","2","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","200","Groveport Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","7","14.290","5","1","85.710","1.140","00:00:20","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/privacy-policy/","200","Privacy Policy - The Recovery Village Columbus","Indexable","","17","100.000","17","17","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/depression-resource-guide/","200","Dealing With Depression: A Resource Guide | Columbus Recovery Center","Indexable","","441","88.440","396","390","91.380","1.160","00:00:27","0.000","0","0.000","0.000"
