"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.bettersleep.com/","1","Indexable","","https://www.bettersleep.com/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/gift/","1","Non-Indexable","noindex","https://www.bettersleep.com/gift/","","NOINDEX","","","","",""
"https://www.bettersleep.com/ja/","1","Indexable","","https://www.bettersleep.com/ja/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/ru/","1","Indexable","","https://www.bettersleep.com/ru/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/sleep-better/","1","Indexable","","https://www.bettersleep.com/sleep-better/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/studentprogram/","1","Indexable","","https://www.bettersleep.com/studentprogram/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/info-covid19/","1","Indexable","","https://www.bettersleep.com/info-covid19/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","1","Non-Indexable","Canonicalised","https://www.bettersleep.com/blog/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/es/","1","Indexable","","https://www.bettersleep.com/es/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/sleep-sounds/","1","Indexable","","https://www.bettersleep.com/sleep-sounds/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/info-chronotypes/","1","Indexable","","https://www.bettersleep.com/info-chronotypes/","","INDEX, FOLLOW","","","","",""
"https://my.bettersleep.com/redirect/signin","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://www.bettersleep.com/blog/","1","Indexable","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW","","","","",""
"https://my.bettersleep.com/sounds","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","1","Non-Indexable","Canonicalised","https://www.bettersleep.com/blog/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/pt/","1","Indexable","","https://www.bettersleep.com/pt/","","INDEX, FOLLOW","","","","",""
"https://my.bettersleep.com/redirect/register","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://www.bettersleep.com/partners/","1","Indexable","","https://www.bettersleep.com/partners/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/relaxation-meditation/","1","Indexable","","https://www.bettersleep.com/relaxation-meditation/","","INDEX, FOLLOW","","","","",""
"https://my.bettersleep.com/redeem","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://www.bettersleep.com/fr/","1","Indexable","","https://www.bettersleep.com/fr/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/for-work/","1","Indexable","","https://www.bettersleep.com/for-work/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","0","Non-Indexable","noindex","","","noindex, nofollow","","","","",""
"https://www.bettersleep.com/bettersleep-faq/","1","Indexable","","https://www.bettersleep.com/bettersleep-faq/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","1","Indexable","","https://www.bettersleep.com/fr/techniquesderelaxation/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","1","Indexable","","https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","1","Indexable","","https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","1","Indexable","","https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","1","Indexable","","https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","1","Indexable","","https://www.bettersleep.com/pt/relaxamento-e-meditacao/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/fr/partners/","1","Indexable","","https://www.bettersleep.com/fr/partners/","","INDEX, FOLLOW","","","","",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","1","Non-Indexable","Canonicalised","https://www.bettersleep.com/blog/","","INDEX, FOLLOW","","","","",""
"https://my.bettersleep.com/meditations/sosdestress/play","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://my.bettersleep.com/meditations/gratitudesingle/play","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://my.bettersleep.com/meditations/glowingcompassion/play","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","0","Non-Indexable","noindex","","","noindex","","","","",""
"https://my.bettersleep.com/meditations/sohum/play","0","Non-Indexable","noindex","","","noindex","","","","",""
