"Address","Word Count","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.columbusrecoverycenter.com/","2333","","","43","27","16","en-US","d507288731463ce4ea3e76ec8071a13b","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/checklist/","1139","","","1","0","1","en-US","60246f54b7aae2e29b297ec81242706","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/","907","","","14","8","6","en-US","90fce878088bfa4f4d5c891f33dab370","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","2016","","","51","28","23","en-US","d012436e4db5428dce83d3fde0313d6","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","2100","","","15","11","4","en-US","115846c96560b64fcb84a12b32156cd7","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","2210","","","24","14","10","en-US","1bcd8509a530b9462dcc3b9e6818300a","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","2092","","","50","46","4","en-US","792f8a0c17bb7f46576dd38fefde41d0","Indexable",""
"https://www.columbusrecoverycenter.com/privacy-policy/","3428","","","24","6","18","en-US","2e0f383481a2afd842c6f4fa04c171a3","Indexable",""
"https://www.columbusrecoverycenter.com/depression-resource-guide/","2037","","","21","19","2","en-US","367d4c6275f4aef591a3c60f1211ee3b","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/","2102","","","45","17","28","en-US","26eea160df02c41fd7daacba31037641","Indexable",""
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","2321","","","43","18","25","en-US","69ff87b331de8e459009e2e066239805","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/intensive-outpatient/","1771","","","46","30","16","en-US","171e0faa446f0c93ed03755925be5017","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland/","2529","","","31","12","19","en-US","62ea747e4fcc0b81b3123055a81249a4","Indexable",""
"https://www.columbusrecoverycenter.com/our-team/","436","","","6","4","2","en-US","e6c8f52b6fe471e0c5c9caafd0242e9e","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","1912","","","43","27","16","en-US","fdf56dfe530dbb811b2127c46a46f57e","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","2262","","","23","14","9","en-US","13207cf801b7a653b61d8e0baf0a67f6","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","2132","","","19","11","8","en-US","b54060108a83cb838d6bf561aa7f635e","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/","2006","","","55","30","25","en-US","a2c04dbb882825b246a836705eb69f04","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","2261","","","21","13","8","en-US","5fd937d14520b436eb2daaf8f926348c","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/aftercare/","1947","","","57","31","26","en-US","101a32935ee4d290b0ebde6661492e60","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/residential-rehabilitation/","1910","","","48","30","18","en-US","5bb71c856167aa1a458098a20b9cdc54","Indexable",""
"https://www.columbusrecoverycenter.com/online-terms-conditions-use/","2840","","","62","37","25","en-US","738aa6d9c4f39e8a51cebef716a4776d","Indexable",""
"https://www.columbusrecoverycenter.com/veterans/","1692","","","11","11","0","en-US","ceae8f2c94a2dd99e09e6f0b3b0244eb","Indexable",""
"https://www.columbusrecoverycenter.com/continuing-education/","778","","","15","9","6","en-US","e5d5d797d045b5dac644391721f3f174","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/drug-addiction-hotline/","1058","","","14","6","8","en-US","d3a9f66d8b5f56b805fc2a9f7b0ab5e2","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","2131","","","15","9","6","en-US","fda7d070a0385b99611361d52107c1d2","Indexable",""
"https://www.columbusrecoverycenter.com/recovery-blog/","844","","","49","45","4","en-US","27edeec036d59e5f0bc10ae33520ad","Indexable",""
"https://www.columbusrecoverycenter.com/blog/adderall-and-alcohol/","1304","","","29","13","16","en-US","caaba52d1339dd2a121ef0cfb6ac0c1e","Indexable",""
"https://www.columbusrecoverycenter.com/facility/","303","","","2","1","1","en-US","ee7b8ff34e1fb092f05d6cdb8c4185fc","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction-resource-guide/","1519","","","19","9","10","en-US","92f706bf7fb2110a1f1fb93c5b8e30dd","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/faqs/","1431","","","13","5","8","en-US","bd4afdd989ed655834fbbdcd91915c3d","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/insurance/","961","","","14","6","8","en-US","6aa2a5812eeb5aa049f03c79c9cf13c5","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/newark/","2306","","","18","10","8","en-US","ab9f3f1f1fdbfdea4d7dc606a7b2ca11","Indexable",""
"https://www.columbusrecoverycenter.com/marijuana-abuse-resources/","973","","","6","5","1","en-US","8f1ebebd6beb19217819d4159a7eb9ef","Indexable",""
"https://www.columbusrecoverycenter.com/fortitude/","1488","","","32","14","18","en-US","f152adde1f4b8caa56d800d2347f123f","Indexable",""
"https://www.columbusrecoverycenter.com/students/","408","","","1","0","1","en-US","a0d933f4d7a3a5325c6700f6c008aa2","Indexable",""
"https://www.columbusrecoverycenter.com/about/","1550","","","38","28","10","en-US","e30b5a69d10ab83530a8bda67c0c8f93","Indexable",""
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","1650","","","10","3","7","en-US","df4745a34cc2e948607e14ed13b1a9e7","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/ohio-rehab/marion/","2262","","","22","15","7","en-US","164c3d85642cb44120743dbf35eb0fc7","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","2602","","","23","15","8","en-US","e8fff382c6794f6a521986b2c84e8e58","Indexable",""
"https://www.columbusrecoverycenter.com/outreach/","537","","","5","3","2","en-US","5632e5bf03969de7fa6845c4ee573835","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/telehealth-app/","1525","","","27","17","10","en-US","5c1340087d2ea8fd1d7ce238bb811185","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/ohio-rehab/westerville/","2185","","","22","15","7","en-US","2b9a42f274be3869d6e64a563270625e","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/","318","","","5","4","1","en-US","1108c5be2f27b3e2d26f12fe2fa2e34d","Indexable",""
"https://www.columbusrecoverycenter.com/contact-us/","325","","","2","1","1","en-US","1679c26124fd28d93f0ea23ce711f158","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/akron/","2434","","","15","12","3","en-US","3f2f6eeb36f1a225daee45bb441aee2d","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/co-occurring-disorders/","2126","","","29","14","15","en-US","3282ab061c7ae56da63673650ed584e1","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/pricing/","894","","","4","3","1","en-US","efae90cee1b95390b0ebc335f9c79bec","Indexable",""
