"Site Crawled","https://bettersleep.com/"
"Date","2022-04-28"
"Time","11:25:20"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","2012","100.00%","2012","URLs Encountered"
"Total URLs Crawled","2007","99.75%","2012","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","2012","URLs Encountered"
"Total External blocked by robots.txt","5","0.25%","2012","URLs Encountered"
""
"URLs Displayed","2012","100.00%","2012","URLs Displayed"
"Total Internal URLs","1120","55.67%","2012","URLs Displayed"
"Total External URLs","892","44.33%","2012","URLs Displayed"
"Total Internal Indexable URLs","122","6.06%","2012","URLs Displayed"
"Total Internal Non-Indexable URLs","998","49.60%","2012","URLs Displayed"
""
"Internal"
"All","1120","100.00%","1120","Internal URLs"
"HTML","1099","98.13%","1120","Internal URLs"
"JavaScript","8","0.71%","1120","Internal URLs"
"CSS","4","0.36%","1120","Internal URLs"
"Images","4","0.36%","1120","Internal URLs"
"PDF","0","0.00%","1120","Internal URLs"
"Flash","0","0.00%","1120","Internal URLs"
"Other","5","0.45%","1120","Internal URLs"
"Unknown","0","0.00%","1120","Internal URLs"
""
"External"
"All","892","100.00%","892","External URLs"
"HTML","835","93.61%","892","External URLs"
"JavaScript","7","0.78%","892","External URLs"
"CSS","1","0.11%","892","External URLs"
"Images","0","0.00%","892","External URLs"
"PDF","12","1.35%","892","External URLs"
"Flash","0","0.00%","892","External URLs"
"Other","32","3.59%","892","External URLs"
"Unknown","5","0.56%","892","External URLs"
""
"Security"
"All","1120","100.00%","1120","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","1120","All internal and non-HTML external URLs"
"HTTPS URLs","1120","100.00%","1120","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","1120","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","1120","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","1120","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","959","85.63%","1120","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","1120","All internal and non-HTML external URLs"
"Missing HSTS Header","1069","95.45%","1120","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","1069","95.45%","1120","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","1066","95.18%","1120","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","1","0.09%","1120","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","1069","95.45%","1120","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","1120","All internal and non-HTML external URLs"
""
"Response Codes"
"All","2012","100.00%","2012","All Crawled URLs"
"Blocked by Robots.txt","5","0.25%","2012","All Crawled URLs"
"Blocked Resource","0","0.00%","2012","All Crawled URLs"
"No Response","3","0.15%","2012","All Crawled URLs"
"Success (2xx)","1599","79.47%","2012","All Crawled URLs"
"Redirection (3xx)","352","17.50%","2012","All Crawled URLs"
"Redirection (JavaScript)","0","0.00%","2012","All Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","2012","All Crawled URLs"
"Client Error (4xx)","38","1.89%","2012","All Crawled URLs"
"Server Error (5xx)","15","0.75%","2012","All Crawled URLs"
""
"URL"
"All","1120","100.00%","1120","Internal URLs"
"Non ASCII Characters","48","4.29%","1120","Internal URLs"
"Underscores","4","0.36%","1120","Internal URLs"
"Uppercase","1","0.09%","1120","Internal URLs"
"Multiple Slashes","0","0.00%","1120","Internal URLs"
"Repetitive Path","0","0.00%","1120","Internal URLs"
"Contains Space","0","0.00%","1120","Internal URLs"
"Internal Search","0","0.00%","1120","Internal URLs"
"Parameters","3","0.27%","1120","Internal URLs"
"Broken Bookmark","0","0.00%","1120","Internal URLs"
"Over 115 Characters","27","2.41%","1120","Internal URLs"
""
"Page Titles"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1053","Internal HTML pages with 2xx response"
"Duplicate","62","5.89%","1053","Internal HTML pages with 2xx response"
"Over 60 Characters","18","1.71%","1053","Internal HTML pages with 2xx response"
"Below 30 Characters","75","7.12%","1053","Internal HTML pages with 2xx response"
"Over 554 Pixels","17","1.61%","1053","Internal HTML pages with 2xx response"
"Below 200 Pixels","71","6.74%","1053","Internal HTML pages with 2xx response"
"Same as H1","66","6.27%","1053","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Missing","68","6.46%","1053","Internal HTML pages with 2xx response"
"Duplicate","9","0.85%","1053","Internal HTML pages with 2xx response"
"Over 155 Characters","9","0.85%","1053","Internal HTML pages with 2xx response"
"Below 70 Characters","6","0.57%","1053","Internal HTML pages with 2xx response"
"Over 1,005 Pixels","8","0.76%","1053","Internal HTML pages with 2xx response"
"Below 400 Pixels","6","0.57%","1053","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Missing","106","10.07%","1053","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","1053","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"H1"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Missing","8","0.76%","1053","Internal HTML pages with 2xx response"
"Duplicate","56","5.32%","1053","Internal HTML pages with 2xx response"
"Over 70 Characters","1","0.09%","1053","Internal HTML pages with 2xx response"
"Multiple","1","0.09%","1053","Internal HTML pages with 2xx response"
""
"H2"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Missing","76","7.22%","1053","Internal HTML pages with 2xx response"
"Duplicate","1","0.09%","1053","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","1053","Internal HTML pages with 2xx response"
"Multiple","27","2.56%","1053","Internal HTML pages with 2xx response"
""
"Content"
"All","1053","100.00%","1053","Content in URL"
"Exact Duplicates","0","0.00%","1053","Content in URL"
"Near Duplicates","0","0.00%","1053","Content in URL"
"Low Content Pages","48","4.56%","1053","Content in URL"
"Spelling Errors","0","0.00%","1053","Content in URL"
"Grammar Errors","0","0.00%","1053","Content in URL"
""
"Images"
"All","4","100.00%","4","Images with 2xx response"
"Over 100 KB","2","50.00%","4","Images with 2xx response"
"Missing Alt Text","0","0.00%","4","Images with 2xx response"
"Missing Alt Attribute","2","50.00%","4","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","4","Images with 2xx response"
""
"Canonicals"
"All","1053","100.00%","1053","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","1012","96.11%","1053","Internal HTML or PDF pages with 2xx response"
"Self Referencing","108","10.26%","1053","Internal HTML or PDF pages with 2xx response"
"Canonicalised","904","85.85%","1053","Internal HTML or PDF pages with 2xx response"
"Missing","41","3.89%","1053","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","1053","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","1","0.09%","1053","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","1053","Internal HTML pages with 2xx response"
"First Page","0","0.00%","1053","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","1053","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","1053","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","1053","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","1053","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","1053","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","1053","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","1053","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"Directives"
"All","1069","100.00%","1069","Internal URLs with 2xx response"
"Index","1009","94.39%","1069","Internal URLs with 2xx response"
"Noindex","44","4.12%","1069","Internal URLs with 2xx response"
"Follow","1009","94.39%","1069","Internal URLs with 2xx response"
"Nofollow","1","0.09%","1069","Internal URLs with 2xx response"
"None","0","0.00%","1069","Internal URLs with 2xx response"
"NoArchive","0","0.00%","1069","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","1069","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","1069","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","1069","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","1069","Internal URLs with 2xx response"
"NoODP","0","0.00%","1069","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","1069","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","1069","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","1069","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","1069","Internal URLs with 2xx response"
"Refresh","0","0.00%","1099","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","1053","100.00%","1053","Internal pages with 2xx response"
"Contains hreflang","169","16.05%","1053","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","1053","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","1053","Internal pages with 2xx response"
"Missing Return Links","36","3.42%","1053","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","3","0.28%","1053","Internal pages with 2xx response"
"Non-Canonical Return Links","7","0.66%","1053","Internal pages with 2xx response"
"Noindex Return Links","3","0.28%","1053","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","1053","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","1053","Internal pages with 2xx response"
"Missing Self Reference","162","15.38%","1053","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","1053","Internal pages with 2xx response"
"Missing X-Default","138","13.11%","1053","Internal pages with 2xx response"
"Missing","0","0.00%","1053","Internal pages with 2xx response"
""
"JavaScript"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","1053","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","1053","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","1053","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","1053","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","1053","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","1053","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","1053","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","1053","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","1053","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","1099","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
