"Crawl Overview Report by the Screaming Frog SEO Spider (11.3)"
"Site Crawled","https://clubs.scholastic.com/lego-8-brick-storage-box/40061730-T-rco-us.html"
"Date","Sunday, Jun 7, 2020"
"Time","18:50:42 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Total URLs Encountered","944","100.00%","944","URLs Encountered"
"Total URLs Crawled","944","100.00%","944","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","944","URLs Encountered"
"Total External blocked by robots.txt","0","0.00%","944","URLs Encountered"
""
"URLs Displayed","944","100.00%","944","URLs Displayed"
"Total Internal URLs","944","100.00%","944","URLs Displayed"
"Total External URLs","0","0.00%","944","URLs Displayed"
""
"Internal"
"All","944","100.00%","944","Internal URLs"
"HTML","927","98.20%","944","Internal URLs"
"JavaScript","0","0.00%","944","Internal URLs"
"CSS","0","0.00%","944","Internal URLs"
"Images","0","0.00%","944","Internal URLs"
"PDF","0","0.00%","944","Internal URLs"
"Flash","0","0.00%","944","Internal URLs"
"Other","17","1.80%","944","Internal URLs"
"Unknown","0","0.00%","944","Internal URLs"
""
"External"
"All","0","0.00%","0","External URLs"
"HTML","0","0.00%","0","External URLs"
"JavaScript","0","0.00%","0","External URLs"
"CSS","0","0.00%","0","External URLs"
"Images","0","0.00%","0","External URLs"
"PDF","0","0.00%","0","External URLs"
"Flash","0","0.00%","0","External URLs"
"Other","0","0.00%","0","External URLs"
"Unknown","0","0.00%","0","External URLs"
""
"Protocol"
"All","944","100.00%","944","All internal and non HTML external URLs"
"HTTP","1","0.11%","944","All internal and non HTML external URLs"
"HTTPS","943","99.89%","944","All internal and non HTML external URLs"
""
"Response Codes"
"All","944","100.00%","944","All Crawled URLs"
"Blocked by Robots.txt","0","0.00%","944","All Crawled URLs"
"Blocked Resource","0","0.00%","944","All Crawled URLs"
"No Response","0","0.00%","944","All Crawled URLs"
"Success (2xx)","545","57.73%","944","All Crawled URLs"
"Redirection (3xx)","398","42.16%","944","All Crawled URLs"
"Redirection (JavaScript)","0","0.00%","944","All Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","944","All Crawled URLs"
"Client Error (4xx)","1","0.11%","944","All Crawled URLs"
"Server Error (5xx)","0","0.00%","944","All Crawled URLs"
""
"Content"
"Large Pages (Over 100KB)","542","99.45%","545","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","3","0.55%","545","Internal HTML pages with 2xx response"
""
"URL"
"All","944","100.00%","944","Internal URLs"
"Non ASCII Characters","141","14.94%","944","Internal URLs"
"Underscores","0","0.00%","944","Internal URLs"
"Uppercase","346","36.65%","944","Internal URLs"
"Duplicate","0","0.00%","944","Internal URLs"
"Parameters","0","0.00%","944","Internal URLs"
"Over 115 Characters","43","4.56%","944","Internal URLs"
""
"Page Titles"
"All","545","100.00%","545","Internal HTML pages with 2xx response"
"Missing","2","0.37%","545","Internal HTML pages with 2xx response"
"Duplicate","542","99.45%","545","Internal HTML pages with 2xx response"
"Over 65 Characters","0","0.00%","545","Internal HTML pages with 2xx response"
"Below 30 Characters","1","0.18%","545","Internal HTML pages with 2xx response"
"Over 568 Pixels","0","0.00%","545","Internal HTML pages with 2xx response"
"Below 200 Pixels","1","0.18%","545","Internal HTML pages with 2xx response"
"Same as H1","0","0.00%","545","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","545","Internal HTML pages with 2xx response"
""
"Meta Description"
