"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.bettersleep.com/","1","Sleep better. Feel better.","26","","0","Indexable",""
"https://www.bettersleep.com/gift/","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/","1","より良い睡眠でより良い気分。","14","","0","Indexable",""
"https://www.bettersleep.com/ru/","1","Спите лучше. Чувствуйте себя лучше.","35","","0","Indexable",""
"https://www.bettersleep.com/sleep-better/","1","Sleep Better with BetterSleep","29","","0","Indexable",""
"https://www.bettersleep.com/studentprogram/","2","BetterSleep Premium Student Plan","32","BetterSleep Premium Student Plan","32","Indexable",""
"https://www.bettersleep.com/info-covid19/","1","COVID-19: One Year On","21","","0","Indexable",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","1","BetterSleep Sleep Recorder","26","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/","1","Duerme mejor. Siéntete mejor.","29","","0","Indexable",""
"https://www.bettersleep.com/sleep-sounds/","1","Sounds for sleep by BetterSleep","31","","0","Indexable",""
"https://www.bettersleep.com/info-chronotypes/","1","Chronotypes","11","","0","Indexable",""
"https://my.bettersleep.com/redirect/signin","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/","1","Featured Posts","14","","0","Indexable",""
"https://my.bettersleep.com/sounds","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","1","The 20 Best 10-Minute Meditations to Try","40","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/","1","Durma melhor. Sinta-se melhor.","30","","0","Indexable",""
"https://my.bettersleep.com/redirect/register","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/partners/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/","1","Relax and Meditate with BetterSleep","35","","0","Indexable",""
"https://my.bettersleep.com/redeem","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/fr/","1","Dormez mieux. Vivez mieux.","26","","0","Indexable",""
"https://www.bettersleep.com/for-work/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","1","Email Protection","16","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/bettersleep-faq/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","1","21 Astuces et techniques pour la gestion du stress","50","","0","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","1","Meditate to Lucid Dream","23","","0","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","1","What is mindfulness meditation for tinnitus?","44","","0","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","1","Meditation for Beginners","24","","0","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","1","How breathing exercises help you relax","38","","0","Indexable",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","1","Relaxe e medite com o BetterSleep","33","","0","Indexable",""
"https://www.bettersleep.com/fr/partners/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","1","Fall Asleep Easily With Bedtime Stories for Adults","50","","0","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/sosdestress/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gratitudesingle/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/glowingcompassion/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sohum/play","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/little-ones-and-naps/","1","Little Ones and Naps","20","","0","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/stressandanxietyb/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationfortrauma/play","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/pt/partners/","0","","0","","0","Indexable",""
"https://my.bettersleep.com/meditations/meditationforchange/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/relaxingvisualization/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/healinggrief/play","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/how-to-use-healing-meditation-for-sleep/","1","How to Use Healing Meditation For Sleep","39","","0","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/tropicalmoonlight/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gettingsleepquicker/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/japanesemoonbreathing/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sleepintocreativity/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/bodyscanbedtime/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/easingmindawareness/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/innervoyage/play","0","","0","","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sleeptherapydeepcalm/play","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/a-quick-guide-to-chakra-meditation/","1","A Quick Guide to Chakra Meditation","34","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/39/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/19/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/5/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/17/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/3/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/29/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-the-cdc-has-to-say-about-sleep/","1","What the CDC Has to Say About Sleep","35","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/37/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/15/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/35/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/","1","Publicações em destaque","23","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/27/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/13/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/25/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/9/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/blog/","1","Articles en vedette","19","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/7/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/world-health-day-what-sleep-tips-the-who-recommends/","1","World Health Day: What sleep tips the WHO recommends","52","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/22/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/44/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/34/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/12/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/42/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/20/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/32/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/40/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/10/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/30/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/4/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/18/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/28/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/2/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/38/","0","","0","","0","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/gift","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/page/26/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/16/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/cadeau/","0","","0","","0","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/partners/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/es/duerme-mejor/","1","Duerme mejor con BetterSleep","28","","0","Indexable",""
"https://www.bettersleep.com/fr/sommeil/","1","Comment bien dormir : le guide complet pour un sommeil réparateur.","66","","0","Indexable",""
"https://www.bettersleep.com/sleep-better/bedtime-stories/","1","Bedtime Stories For Adults","26","","0","Indexable",""
"https://www.bettersleep.com/pt/durma_melhor/","1","Durma melhor com o BetterSleep","30","","0","Indexable",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","1","The Science Behind Solfeggio Frequencies","40","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/ru/partners/","0","","0","","0","Indexable",""
"https://www.bettersleep.com/blog/how-covid-19-is-affecting-our-rest-and-what-we-can-do-to-sleep-better-relax-melodies/","1","How COVID-19 Is Affecting Our Rest (and What We Can Do to Sleep Better)","71","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditating-with-adhd/","1","Meditating with ADHD","20","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditation/","1","meditation","10","","0","Indexable",""
"https://www.bettersleep.com/blog/sound/","1","Sound","5","","0","Indexable",""
"https://www.bettersleep.com/blog/what-to-know-about-fever-dreams/","1","What to Know About Fever Dreams","31","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/your-guide-to-amazing-cuddles/","1","Your Guide to Amazing Cuddles","29","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sounds/","1","sounds","6","","0","Indexable",""
"https://www.bettersleep.com/blog/why-do-babies-cry-in-their-sleep/","1","Why Do Babies Cry in Their Sleep?","33","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/your-mattress-questions-answered/","1","Your Mattress Questions Answered","32","","0","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/","1","sleep","5","","0","Indexable",""
"https://www.bettersleep.com/blog/news/","1","news","4","","0","Indexable",""
"https://www.bettersleep.com/blog/waking-up-thirsty/","1","Waking up Thirsty","17","","0","Non-Indexable","Canonicalised"
