"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction/treatment-rehab/","2","Addiction Treatment Options","27","How Long Does Rehab Take?","25","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/percocet-addiction/treatment-rehab/","2","Addiction Treatment Options","27","How Long Does Rehab Take?","25","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/methadone-addiction/treatment-rehab/","2","Addiction Treatment Options","27","How Long Does Rehab Take?","25","Indexable",""
"https://www.columbusrecoverycenter.com/about-canton-ohio/","2","At a Glance","11","History of Canton","17","Indexable",""
"https://www.columbusrecoverycenter.com/about-lorain-ohio/","2","At a Glance","11","History of Lorain","17","Indexable",""
"https://www.columbusrecoverycenter.com/about-cleveland-ohio/","2","At a Glance","11","History of Cleveland","20","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/akron/","2","Drug & Alcohol Rehab Centers in Akron, Ohio","43","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","2","Drug & Alcohol Rehab Centers in Canton, Ohio","44","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","2","Drug & Alcohol Rehab Centers in Cincinnati, Ohio","48","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland/","2","Drug & Alcohol Rehab Centers in Cleveland, Ohio","47","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cuyahoga-falls/","2","Drug & Alcohol Rehab Centers in Cuyahoga Falls, Ohio","52","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","2","Drug & Alcohol Rehab Centers in Dayton, Ohio","44","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/euclid/","2","Drug & Alcohol Rehab Centers in Euclid, Ohio","44","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","2","Drug & Alcohol Rehab Centers in Groveport, Ohio","47","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/hamilton/","2","Drug & Alcohol Rehab Centers in Hamilton, Ohio","46","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/hudson/","2","Drug & Alcohol Rehab Centers in Hudson, Ohio","44","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/kent/","2","Drug & Alcohol Rehab Centers in Kent, Ohio","42","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lima/","2","Drug & Alcohol Rehab Centers in Lima, Ohio","42","The Recovery Village Columbus","29","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","2","Drug & Alcohol Rehab Centers in Lorain, Ohio","44","The Recovery Village Columbus","29","Indexable",""
