"Address","Content Type","Indexability","Status Code","Status","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-11.jpg","image/jpeg","Indexable","200","OK","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","29926","0","0.000","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.173","Thu, 10 Mar 2022 08:32:37 GMT","","","","1.1","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-11.jpg","2022-04-27 13:05:04"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/11/pill.jpg","image/jpeg","Indexable","200","OK","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","37793","0","0.000","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.185","Thu, 10 Mar 2022 08:34:39 GMT","","","","1.1","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/11/pill.jpg","2022-04-27 13:03:48"
"https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","text/html; charset=UTF-8","Indexable","200","OK","","Treating Aggression and Addiction Together - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","108","997","At Ohio drug rehab facilities, addicts who also struggle with aggression can have personalized programs designed specifically to tackle co-occurring disorders such as behavioral and mental issues along with substance abuse.","223","1393","","0","Treating Aggression and Addiction Together","42","","0","Studies Uncover a Link Between Aggression and Addiction","55","Addressing Aggression Can Support Long-Term Addiction Recovery","62","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","","","","","","83526","971","8.648","6","","10","3","0","0.550","92","47","0","13","10","0","","","","","2626e849090e79df2b617f2e7cebbf09","0.177","","","","","1.1","https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","2022-04-27 13:04:54"
"https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","text/html; charset=UTF-8","Indexable","200","OK","","Marijuana Addiction Treatment & Rehab in Ohio - Columbus Recovery Center","72","683","Marijuana addiction treatment may be necessary for those with a cannabis use disorder. Learn about signs of marijuana addiction, marijuana rehab centers and more.","162","1027","","0","Marijuana Addiction Treatment & Rehab in Ohio","45","","0","Is Rehab Necessary for Marijuana Addiction?","43","Marijuana Addiction Treatment Options","37","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","","","","","","106166","1496","10.152","5","","8","2","0","0.370","101","43","0","20","10","0","","","","","3f04cda9d20a386af836f49362d29358","0.183","","","","","1.1","https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","2022-04-27 13:03:47"
"https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","text/html; charset=UTF-8","Indexable","200","OK","","What Happens in SMART Recovery in Ohio? - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","105","1007","While Ohio drug rehab programs treat substance abuse disorders and help people toward recovery, follow-up after rehab is essential for continued recovery.","154","969","","0","What Happens in SMART Recovery in Ohio?","39","","0","What Is SMART Recovery?","23","How Does SMART Recovery Differ from Twelve-Step Programs?","57","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","","","","","","82663","889","8.028","5","","13","4","0","0.730","94","48","0","10","7","0","","","","","d44007bf91d1c2d0c383bbe5643d92ec","0.160","","","","","1.1","https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","2022-04-27 13:03:12"
"https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","text/html; charset=UTF-8","Indexable","200","OK","","Meth Withdrawal & Detox in Ohio - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","97","901","Meth withdrawal can be difficult and dangerous on your own, but the process can be safer and more comfortable with medical help. Learn more about meth detox.","157","997","","0","Meth Withdrawal & Detox in Ohio","31","","0","Meth Withdrawal Symptoms","24","Meth Withdrawal Timeline","24","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","","","","","","104867","1174","8.108","4","","10","2","0","0.370","100","46","0","29","12","0","","","","","89189fbbc0fda21911d45944bac9db1e","3.815","","","","","1.1","https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","2022-04-27 13:01:43"
"https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","text/html; charset=UTF-8","Indexable","200","OK","","Gabapentin Addiction Symptoms & Side Effects | The Recovery Village Columbus","76","719","Gabapentin is an FDA-approved anti-epileptic drug that is commonly used off-label. Gabapentin misuse is becoming common, especially in combination with opioids.","160","1014","","0","Signs, Symptoms & Side Effects of Gabapentin Abuse","50","","0","Understanding the Effects of Gabapentin Misuse","46","Short Term Side Effects of Gabapentin Misuse","44","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","","","","","","96720","2290","16.434","5","","6","3","0","0.550","93","44","0","55","30","0","","","","","f97d112a4e38de16150479f92330fa1c","0.143","","","","","1.1","https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","2022-04-27 13:02:48"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/03/Drug-Side-Effects-1024x512.jpg","image/jpeg","Indexable","200","OK","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","34439","0","0.000","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.098","Thu, 10 Mar 2022 08:31:14 GMT","","","","1.1","https://www.columbusrecoverycenter.com/wp-content/uploads/2021/03/Drug-Side-Effects-1024x512.jpg","2022-04-27 13:04:26"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/07/Local-News-Cities-And-States-Look-To-Big-Pharma-To-Cover-Costs-Of-The-Opioid-Epidemic-1184x592.jpg","image/jpeg","Indexable","200","OK","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","123410","0","0.000","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.176","Thu, 10 Mar 2022 08:32:04 GMT","","","","1.1","https://www.columbusrecoverycenter.com/wp-content/uploads/2019/07/Local-News-Cities-And-States-Look-To-Big-Pharma-To-Cover-Costs-Of-The-Opioid-Epidemic-1184x592.jpg","2022-04-27 13:04:14"
"https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","text/html; charset=UTF-8","Indexable","200","OK","","Codeine Withdrawal & Detox in Ohio | The Recovery Village Columbus","66","622","Codeine withdrawal symptoms can be difficult or even dangerous on your own, but treatment is available. Learn more about codeine detox, withdrawal and more.","156","994","","0","Codeine Withdrawal & Detox in Ohio","34","","0","Codeine Withdrawal","18","Codeine Withdrawal Symptoms","27","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","","","","","","103528","1111","7.806","4","","11","3","0","0.550","96","44","0","24","15","0","","","","","e8c4a2fd083bb7375ee082caa629c0e3","4.938","","","","","1.1","https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","2022-04-27 13:00:52"
