"Address","Status Code","Title 1","Majestic External Backlinks - URL (Exact URL)","Majestic Referring Domains - URL (Exact URL)","Majestic Trust Flow - URL (Exact URL)","Majestic Citation Flow - URL (Exact URL)"
"https://columbusrecoverycenter.com/","301","","16","15","0","22"
"https://www.columbusrecoverycenter.com/","200","Drug and Alcohol Rehab in Columbus, Ohio | The Recovery Village","514","146","25","38"
"https://www.columbusrecoverycenter.com/admissions/checklist/","200","Rehab and Treatment Checklist | Columbus Recovery Village","1","1","18","30"
"https://www.columbusrecoverycenter.com/admissions/","200","Admitting Into Our Addiction Treatment Programs at The Recovery Village Columbus Drug & Alcohol Rehab","45","10","18","34"
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","200","Outpatient Drug & Alcohol Rehab in Columbus, Ohio","10","7","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","200","Mansfield Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","21"
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","200","Toledo Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","26"
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","200","Groveport Drug and Alcohol Rehab, Detox, and Treatment Resources","4","3","15","21"
"https://www.columbusrecoverycenter.com/privacy-policy/","200","Privacy Policy - The Recovery Village Columbus","0","0","18","30"
"https://www.columbusrecoverycenter.com/depression-resource-guide/","200","Dealing With Depression: A Resource Guide | Columbus Recovery Center","137","80","19","34"
"https://www.columbusrecoverycenter.com/drugs/","200","Drugs of Addiction | The Recovery Village Columbus Drug & Alcohol Rehab","4","4","18","34"
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","200","Prescription Drug Abuse in America | Understanding the Epidemic","51","27","18","34"
"https://www.columbusrecoverycenter.com/treatment-programs/intensive-outpatient/","200","Intensive Outpatient Program (IOP) for Addiction in Columbus, Ohio","9","8","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland/","200","Cleveland Drug and Alcohol Rehab, Detox, and Treatment Resources","4","4","15","26"
"https://www.columbusrecoverycenter.com/our-team/","200","Our Facility Care Team - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","6","6","18","34"
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","200","Partial Hospitalization Program (PHP) for Addiction in Columbus, Ohio","9","9","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","200","Springfield Drug and Alcohol Rehab, Detox, and Treatment Resources","0","0","15","25"
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","200","Dayton Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","26"
"https://www.columbusrecoverycenter.com/treatment-programs/","200","Ohio Addiction Treatment Programs at The Recovery Village Columbus Drug & Alcohol Rehab","21","13","18","34"
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","200","Lorain Drug and Alcohol Rehab, Detox, and Treatment Resources","0","0","15","25"
"https://www.columbusrecoverycenter.com/treatment-programs/aftercare/","200","Addiction Treatment Aftercare & Sober Living Programs at The Recovery Village Columbus","3","3","18","33"
"https://www.columbusrecoverycenter.com/treatment-programs/residential-rehabilitation/","200","Inpatient Rehab & Residental Treatment at The Recovery Village Columbus Drug & Alcohol Rehab","10","6","18","33"
"https://www.columbusrecoverycenter.com/online-terms-conditions-use/","200","Online Terms and Conditions of Use - The Recovery Village at Columbus","0","0","18","33"
"https://www.columbusrecoverycenter.com/veterans/","200","Resources for Veterans Dealing With Addiction | Columbus Recovery Center","45","19","27","34"
"https://www.columbusrecoverycenter.com/continuing-education/","200","Continuning Education Events & On-Demand Webinars | The Recovery Village Columbus","3","3","18","34"
"https://www.columbusrecoverycenter.com/drug-addiction-hotline/","200","Drug Addiction Hotline - Talk to Someone 24/7 - Free & Confidential","5","4","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","200","Canton Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","26"
"https://www.columbusrecoverycenter.com/recovery-blog/","200","The Recovery Blog - The Recovery Village Columbus","3","3","19","35"
"https://www.columbusrecoverycenter.com/blog/adderall-and-alcohol/","200","Adderall and Alcohol: Risks & Side Effects","0","0","15","25"
"https://www.columbusrecoverycenter.com/facility/","200","Drug Rehab Facility & Amenities | The Recovery Village Columbus","0","0","18","33"
"https://www.columbusrecoverycenter.com/alcohol-addiction-resource-guide/","200","Understanding and Combating Alcohol Addiction: A Resource Guide - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","57","16","26","34"
"https://www.columbusrecoverycenter.com/admissions/faqs/","200","Questions About Drug Rehab | The Recovery Village Columbus Drug & Alcohol Rehab","9","9","18","30"
"https://www.columbusrecoverycenter.com/admissions/insurance/","200","Insurance Options for Drug Rehab | Columbus Drug and Alcohol Rehab","20","8","18","34"
"https://www.columbusrecoverycenter.com/ohio-rehab/newark/","200","Newark Drug and Alcohol Rehab, Detox, and Treatment Resources","0","0","15","25"
"https://www.columbusrecoverycenter.com/marijuana-abuse-resources/","200","Marijuana Abuse Resource Guide - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","6","4","18","33"
"https://www.columbusrecoverycenter.com/fortitude/","200","Fortitude: Substance Abuse & Mental Health Treatment for First Responders","24","20","20","34"
"https://www.columbusrecoverycenter.com/students/","200","Ohio Substance Abuse Resources for Students | Drugs in High School and College","20","13","21","34"
"https://www.columbusrecoverycenter.com/about/","200","About Us - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","6","4","18","30"
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","200","Online Recovery Meetings - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","1","1","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/marion/","200","Marion Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","25"
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","200","Cincinnati Drug and Alcohol Rehab, Detox, and Treatment Resources","131","5","15","26"
"https://www.columbusrecoverycenter.com/outreach/","200","Ohio Community Outreach Team - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","2","2","18","33"
"https://www.columbusrecoverycenter.com/treatment-programs/telehealth-app/","200","Online Rehab, Substance Abuse Counseling & Teletherapy Powered by Nobu","0","0","18","30"
"https://www.columbusrecoverycenter.com/ohio-rehab/westerville/","200","Westerville Drug and Alcohol Rehab, Detox, and Treatment Resources","4","2","15","25"
"https://www.columbusrecoverycenter.com/ohio-rehab/","200","Ohio Community Rehab Services - The Recovery Village Columbus","4","4","19","33"
"https://www.columbusrecoverycenter.com/contact-us/","200","Contact Us - The Recovery Village Columbus Drug and Alcohol Rehab","82","4","18","33"
"https://www.columbusrecoverycenter.com/ohio-rehab/akron/","200","Akron Drug and Alcohol Rehab, Detox, and Treatment Resources","1","1","15","26"
"https://www.columbusrecoverycenter.com/treatment-programs/co-occurring-disorders/","200","Co-Occurring Disorders Treatment - The Recovery Village Columbus","55","17","18","34"
"https://www.columbusrecoverycenter.com/admissions/pricing/","200","Cost of Drug Rehab & Addiction Treatment Options in Ohio","1","1","18","33"
