"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.columbusrecoverycenter.com/","Success","","20","3555.000","10157.830","7671.000","24905.000","4767.000","0.000","1363458","11520","214","3579797","65023","7","907781","27","202291","39","2227179","121","164089","6","0","0","13434","14","2261315","139","","","","","","2543","2730","0","150","0","0","900","3820","1010","0","0","367","0","0","0","3890","34776","6 resources found","1 element found"
"https://www.columbusrecoverycenter.com/admissions/checklist/","Success","","33","3444.500","8151.073","4549.000","17479.000","1884.500","0.000","771016","6241","157","2302283","51869","6","295991","12","118236","30","1690991","92","132070","5","0","0","13126","12","1820995","121","","","","","","1315","1230","0","0","0","0","170","1610","20","0","0","1896","0","0","0","1250","34370","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/admissions/","Success","","28","3630.000","15115.754","4688.000","22962.000","2072.500","0.000","1379408","14127","207","3254860","59424","7","580284","21","194677","38","2227302","121","179357","7","0","0","13816","13","2479794","142","","","","","","1772","1820","0","150","0","0","600","2790","750","300","0","5945","0","0","0","2720","34545","7 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","Success","","24","3930.000","7899.145","7751.000","20274.000","1585.000","0.038","1241141","9110","199","3043395","59953","6","669055","23","214911","41","1855361","111","230984","6","0","0","13131","12","2036835","125","","","","","","2856","2100","0","0","0","0","750","2200","900","0","0","304","0","0","0","3000","34367","10 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","Success","","35","3090.000","9193.674","3998.000","20364.500","2684.000","0.021","801913","7525","171","2629304","56954","7","318954","13","118237","30","1989269","103","132069","5","0","0","13821","13","2144667","135","","","","","","1100","970","0","0","0","0","510","2870","360","0","0","1715","0","0","0","1330","34352","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","Success","","37","3090.000","8004.618","4050.000","19025.500","1977.500","0.021","791755","6275","171","2624150","57385","7","312423","13","118236","30","1990217","103","132070","5","0","0","13819","13","2139084","135","","","","","","1115","300","0","0","0","0","0","2950","0","0","0","1910","0","0","0","300","34372","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","Success","","32","3513.000","7811.120","4611.000","20138.500","1723.500","0.043","792119","6258","171","2617180","56813","7","309100","13","118237","30","1987135","103","132070","5","0","0","13825","13","2132680","135","","","","","","1182","1090","0","150","0","0","130","2410","150","0","0","1146","0","0","0","1390","34401","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/privacy-policy/","Success","","39","2940.000","7902.696","3906.000","18252.500","1576.000","0.072","770995","7898","158","2309218","57766","6","295998","12","118237","30","1692025","93","132070","5","0","0","13122","12","1820810","121","","","","","","1889","1350","0","0","0","0","300","2180","150","0","0","2029","0","0","0","1500","34370","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/depression-resource-guide/","Success","","44","2940.000","6173.182","3977.000","17334.000","1104.500","0.026","1444949","8920","164","2678571","54838","6","668155","18","118237","30","1692140","93","132070","5","0","0","13131","12","2161905","124","","","","","","1910","3150","0","0","0","0","300","1800","1500","0","0","260","0","0","0","4650","34371","8 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/drugs/","Success","","22","4230.000","8580.040","9342.000","21934.000","1706.500","0.000","1532724","9258","196","3410849","59685","6","1054209","20","208929","41","1843925","111","230983","6","0","0","13118","12","2186585","126","","","","","","2351","2570","0","0","0","0","600","1950","1520","0","0","267","0","0","0","4090","34353","7 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","Success","","20","4080.000","13322.185","6729.000","20743.500","2883.500","0.007","1240692","13310","193","2973348","59815","6","618859","19","208081","40","1842612","110","230982","6","0","0","12999","12","2037466","125","","","","","","2256","2170","0","220","0","0","600","2750","890","0","0","4424","0","0","0","3280","34369","7 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/intensive-outpatient/","Success","","22","3480.000","15967.900","7055.000","21603.000","2438.000","0.001","1504402","17215","199","3176537","59244","6","802074","23","214895","41","1856203","111","230984","6","0","0","13137","12","2167192","125","","","","","","2404","3300","0","0","0","0","1200","2570","2250","0","0","5491","0","0","0","5550","34353","10 resources found","5 elements found"
