"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.bettersleep.com/","Success","","64","1889.000","2784.183","5055.000","8315.000","337.500","0.107","274523","2225","35","985793","193028","1","10778","5","0","0","419369","13","324031","5","0","0","38587","11","459585","27","Fail","2509.000","15.000","3059.000","0.090","0","0","0","0","0","0","0","1950","0","0","0","275","0","0","0","0","25033","","5 elements found"
"https://www.bettersleep.com/gift/","Success","","60","1414.000","3172.583","5956.500","7505.500","452.500","0.018","352671","2739","36","853361","103672","1","80150","7","0","0","499682","15","131276","2","0","0","38581","11","540520","30","","","","","","0","0","0","300","0","0","0","2220","0","0","0","219","0","0","0","300","23294","1 resource found","1 element found"
"https://www.bettersleep.com/sleep-better/","Success","","55","1575.000","2916.206","6090.500","7813.500","592.500","0.107","346515","2865","40","882890","109828","1","96918","11","0","0","506281","15","131282","2","0","0","38581","11","547119","30","","","","","","0","300","0","0","0","0","0","2390","0","0","0","175","0","0","0","300","25069","5 resources found","5 elements found"
"https://www.bettersleep.com/ja/","Success","","57","1815.000","2886.065","5355.000","8225.000","576.000","0.015","278013","2171","33","922040","193914","1","8712","3","0","0","418553","13","260853","4","0","0","40008","12","459712","27","","","","","","0","0","0","0","0","0","0","1950","0","0","0","221","0","0","0","0","25069","","1 element found"
"https://www.bettersleep.com/ru/","Success","","61","1841.000","2434.300","5355.000","8238.500","456.000","0.019","277796","2163","33","925058","195345","1","8704","3","0","0","419381","13","260851","4","0","0","40777","12","461309","27","","","","","","0","0","0","0","0","0","0","1950","0","0","0","213","0","0","0","0","25069","","1 element found"
"https://www.bettersleep.com/info-covid19/","Success","","63","1436.000","2745.570","3930.000","8013.000","666.000","0.112","820426","4952","51","1601690","104405","1","756166","20","0","0","507080","15","195019","3","0","0","39020","12","548953","32","","","","","","0","0","0","2250","0","0","0","2550","0","0","0","152","0","0","0","2250","25068","13 resources found","5 elements found"
"https://www.bettersleep.com/studentprogram/","Success","","56","1626.000","3467.337","6011.500","7789.000","585.000","0.018","344870","2521","35","834277","108655","1","49295","6","0","0","506473","15","131276","2","0","0","38578","11","547158","30","","","","","","0","450","0","0","0","0","0","1820","0","0","0","251","0","0","0","450","25067","","1 element found"
"https://www.bettersleep.com/es/","Success","","64","3180.000","3490.611","4830.000","8125.000","290.500","0.015","279193","2051","33","919296","190783","1","9202","4","0","0","419248","13","260846","4","0","0","39217","11","460094","27","","","","","","0","0","0","0","0","0","0","1800","0","0","0","251","0","0","0","0","25019","","1 element found"
"https://my.bettersleep.com/redirect/signin","Success","","19","3578.000","11454.103","14863.000","31278.000","3337.500","0.051","3908520","22637","99","5219935","7466","4","1174457","6","88166","4","3678892","37","131136","2","0","0","139818","46","1602040","59","","","","","","2348","3700","1950","0","0","150","600","5100","5200","3450","0","139","0","0","0","10850","25009","","1 element found"
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","Success","","55","1575.000","2841.635","4380.000","8237.000","861.000","0.122","366518","2811","51","1135598","119480","1","276498","20","0","0","506366","15","194673","3","0","0","38581","12","546726","30","","","","","","0","0","0","150","0","0","0","2490","0","0","0","171","0","0","0","150","25072","4 resources found","4 elements found"
