"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.bettersleep.com/","Indexable","","","","","","https://www.bettersleep.com/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/gift/","Non-Indexable","noindex","","","","","https://www.bettersleep.com/gift/","","NOINDEX",""
"https://www.bettersleep.com/ja/","Indexable","","","","","","https://www.bettersleep.com/ja/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/ru/","Indexable","","","","","","https://www.bettersleep.com/ru/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/sleep-better/","Indexable","","","","","","https://www.bettersleep.com/sleep-better/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/studentprogram/","Indexable","","","","","","https://www.bettersleep.com/studentprogram/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/info-covid19/","Indexable","","","","","","https://www.bettersleep.com/info-covid19/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","Non-Indexable","Canonicalised","","","","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/es/","Indexable","","","","","","https://www.bettersleep.com/es/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/sleep-sounds/","Indexable","","","","","","https://www.bettersleep.com/sleep-sounds/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/info-chronotypes/","Indexable","","","","","","https://www.bettersleep.com/info-chronotypes/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/redirect/signin","Non-Indexable","noindex","","","","","","","noindex",""
"https://www.bettersleep.com/blog/","Indexable","","","","","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/sounds","Non-Indexable","noindex","","","","","","","noindex",""
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","Non-Indexable","Canonicalised","","","","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/pt/","Indexable","","","","","","https://www.bettersleep.com/pt/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/redirect/register","Non-Indexable","noindex","","","","","","","noindex",""
"https://www.bettersleep.com/partners/","Indexable","","","","","","https://www.bettersleep.com/partners/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/relaxation-meditation/","Indexable","","","","","","https://www.bettersleep.com/relaxation-meditation/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/redeem","Non-Indexable","noindex","","","","","","","noindex",""
"https://www.bettersleep.com/fr/","Indexable","","","","","","https://www.bettersleep.com/fr/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/for-work/","Indexable","","","","","","https://www.bettersleep.com/for-work/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","Non-Indexable","noindex","","","","","","","noindex, nofollow",""
"https://www.bettersleep.com/bettersleep-faq/","Indexable","","","","","","https://www.bettersleep.com/bettersleep-faq/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","Indexable","","","","","","https://www.bettersleep.com/fr/techniquesderelaxation/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","Indexable","","","","","","https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","Indexable","","","","","","https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","Indexable","","","","","","https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","Indexable","","","","","","https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","Indexable","","","","","","https://www.bettersleep.com/pt/relaxamento-e-meditacao/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/fr/partners/","Indexable","","","","","","https://www.bettersleep.com/fr/partners/","","INDEX, FOLLOW",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","Non-Indexable","Canonicalised","","","","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/meditations/sosdestress/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/gratitudesingle/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/glowingcompassion/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/sohum/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://www.bettersleep.com/blog/little-ones-and-naps/","Non-Indexable","Canonicalised","","","","","https://www.bettersleep.com/blog/","","INDEX, FOLLOW",""
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/stressandanxietyb/play","Non-Indexable","noindex","","","","","","","noindex",""
"https://my.bettersleep.com/meditations/meditationfortrauma/play","Non-Indexable","noindex","","","","","","","noindex",""
