"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://bettersleep.com/","text/html","301","Moved Permanently","Non-Indexable","Redirected","0","0.203","https://www.bettersleep.com/","HTTP Redirect"
"https://www.bettersleep.com/","text/html","200","OK","Indexable","","996","0.255","",""
"https://spoti.fi/3iPg8D9","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1012","0.057","https://open.spotify.com/artist/2kDTsnbLK4uVEwBrid0Y6c?si=9AQn30tsSBWcct3ZtlJ4VA&dl_branch=1","HTTP Redirect"
"https://www.bettersleep.com/gift/","text/html","200","OK","Non-Indexable","noindex","468","0.413","",""
"https://www.bettersleep.com/ja/","text/html","200","OK","Indexable","","25","0.412","",""
"https://www.bettersleep.com/ru/","text/html","200","OK","Indexable","","25","0.414","",""
"https://www.bettersleep.com/sleep-better/","text/html","200","OK","Indexable","","281","0.259","",""
"https://www.ipnos.com/privacy-policy/","text/html; charset=UTF-8","200","OK","Indexable","","1912","0.455","",""
"https://www.gstatic.com/firebasejs/7.7.0/firebase-app.js","text/javascript; charset=UTF-8","200","OK","Indexable","","0","0.016","",""
"https://www.bettersleep.com/studentprogram/","text/html","200","OK","Indexable","","471","0.174","",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.146","https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","HTTP Redirect"
"https://www.bettersleep.com/info-covid19/","text/html","200","OK","Indexable","","473","0.244","",""
"https://twitter.com/bettersleephq","text/html; charset=utf-8","200","OK","Indexable","","918","0.073","",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","text/html","200","OK","Non-Indexable","Canonicalised","8","0.166","",""
"https://www.bettersleep.com/es/","text/html","200","OK","Indexable","","94","0.177","",""
"https://www.googletagmanager.com/ns.html?id=GTM-KTHK2CZ","text/html; charset=UTF-8","200","OK","Indexable","","0","0.089","",""
"https://onelink.bettersleep.com/iqF4/85de7c4d","application/octet-stream","302","Found","Non-Indexable","Redirected","1946","0.556","https://apps.apple.com/US/app/id314498713?mt=8","HTTP Redirect"
"https://www.facebook.com/bettersleep/","text/html; charset=""utf-8""","200","OK","Indexable","","918","0.240","",""
"https://www.bettersleep.com/sleep-sounds/","text/html","200","OK","Indexable","","108","0.160","",""
"https://www.bettersleep.com/info-chronotypes/","text/html","200","OK","Indexable","","469","0.125","",""
