"Address","Status Code","Title 1","Indexability","Indexability Status","Clicks","Impressions","CTR","Position"
"https://bettersleep.com/","301","","Non-Indexable","Redirected","","","",""
"https://www.bettersleep.com/","200","BetterSleep | Sleep better. Feel Better.","Indexable","","3220","82888","0.039","30.070"
"https://www.bettersleep.com/gift/","200","BetterSleep Gift","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/sleep-better/","200","Sleep Better: The Definitive Guide to Restful Sleep | BetterSleep","Indexable","","14","11416","0.001","9.460"
"https://www.bettersleep.com/ja/","200","BetterSleep |より良い睡眠。より良い気分。","Indexable","","125","1755","0.071","25.000"
"https://www.bettersleep.com/ru/","200","BetterSleep | Спите лучше. Чувствуйте себя лучше.","Indexable","","51","1188","0.043","19.520"
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies","301","","Non-Indexable","Redirected","10261","305057","0.034","9.520"
"https://www.bettersleep.com/info-covid19/","200","COVID-19: One Year On","Indexable","","1","29","0.035","28.140"
"https://www.bettersleep.com/studentprogram/","200","BetterSleep | Sleep better. Feel Better.","Indexable","","8","2743","0.003","3.700"
"https://onelink.bettersleep.com/iqF4/85de7c4d","302","","Non-Indexable","Redirected","","","",""
"https://www.bettersleep.com/es/","200","BetterSleep | Duerme mejor. Siéntete mejor.","Indexable","","109","755","0.144","8.110"
"https://my.bettersleep.com/redirect/signin","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","200","BetterSleep Sleep Recorder | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/","200","BetterSleep Blog","Indexable","","150","24484","0.006","38.710"
"https://www.bettersleep.com/sleep-sounds/","200","Sleep Sounds: Compose Your Own Sleeping Melodies | BetterSleep","Indexable","","211","36873","0.006","12.200"
"https://my.bettersleep.com/sounds","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/info-chronotypes/","200","Chronotypes","Indexable","","87","4619","0.019","22.060"
"https://onelink.bettersleep.com/iqF4/3838ada3","302","","Non-Indexable","Redirected","","","",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults","301","","Non-Indexable","Redirected","140","5182","0.027","23.310"
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","200","The 20 Best 10-Minute Meditations to Try | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/pt/","200","BetterSleep | Durma melhor. Sinta-se melhor.","Indexable","","27","262","0.103","10.520"
"https://my.bettersleep.com/redeem","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/bettersleep-faq/","200","BetterSleep FAQ: Everything You Need to Know About This Exciting Change","Indexable","","158","8964","0.018","3.050"
"https://www.bettersleep.com/for-work/","200","BetterSleep | For Work","Indexable","","1","5279","0.000","2.990"
"https://www.bettersleep.com/partners/","200","BetterSleep Partners","Indexable","","3","3699","0.001","3.070"
"https://my.bettersleep.com/redirect/register","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog","301","","Non-Indexable","Redirected","150","24484","0.006","38.710"
"https://www.bettersleep.com/fr/","200","BetterSleep | Dormez mieux. Vivez mieux.","Indexable","","235","2051","0.115","25.400"
"https://www.bettersleep.com/relaxation-meditation/","200","Relaxation & Meditation Techniques to Help You Sleep | BetterSleep","Indexable","","5","11092","0.000","20.170"
