"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://bettersleep.com/","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.bettersleep.com/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/gift/","text/html","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/ru/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/sleep-better/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/studentprogram/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.bettersleep.com/info-covid19/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/","text/html","200","OK","Indexable",""
"https://onelink.bettersleep.com/iqF4/85de7c4d","application/octet-stream","302","Found","Non-Indexable","Redirected"
"https://www.bettersleep.com/sleep-sounds/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/info-chronotypes/","text/html","200","OK","Indexable",""
"https://my.bettersleep.com/redirect/signin","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/","text/html","200","OK","Indexable",""
"https://my.bettersleep.com/sounds","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://onelink.bettersleep.com/iqF4/3838ada3","application/octet-stream","302","Found","Non-Indexable","Redirected"
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.bettersleep.com/pt/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://my.bettersleep.com/redirect/register","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/partners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/","text/html","200","OK","Indexable",""
"https://my.bettersleep.com/redeem","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/fr/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/for-work/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/bettersleep-faq/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/fr/partners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/sosdestress/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gratitudesingle/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/glowingcompassion/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sohum/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/little-ones-and-naps/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/stressandanxietyb/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationfortrauma/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/pt/partners/","text/html","200","OK","Indexable",""
"https://my.bettersleep.com/meditations/meditationforchange/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/relaxingvisualization/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/meditation","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://my.bettersleep.com/meditations/healinggrief/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
