"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/gift/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/sleep-better/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/ja/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/ru/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/info-covid19/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/studentprogram/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/es/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://my.bettersleep.com/redirect/signin","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/sleep-sounds/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://my.bettersleep.com/sounds","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/info-chronotypes/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://my.bettersleep.com/redeem","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/bettersleep-faq/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/for-work/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://my.bettersleep.com/redirect/register","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/fr/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://my.bettersleep.com/gift","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/fr/cadeau/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/es/duerme-mejor/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/fr/sommeil/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/sleep-better/bedtime-stories/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/pt/durma_melhor/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/ja/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-covid-19-is-affecting-our-rest-and-what-we-can-do-to-sleep-better-relax-melodies/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/sonidos-para-dormir/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/ru/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/es/blog/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/relajacion-y-meditacion/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/es/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/blog/meditating-with-adhd/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sound/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/what-to-know-about-fever-dreams/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sounds/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/your-guide-to-amazing-cuddles/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/why-do-babies-cry-in-their-sleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/your-mattress-questions-answered/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/news/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/waking-up-thirsty/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/relaxation/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/how-to-stay-focused-while-studying/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/5-benefits-of-stretching-in-the-morning/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/dream-dive-bears/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/41/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/43/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/21/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/31/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/breaking-down-binaural-beats/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/23/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/11/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/33/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/6/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/8/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/14/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/36/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
